29	66	0.059271914610891076
29	73	0.083451174769784
29	76	0.10286313267445342
29	84	0.09000524109014675
29	95	0.05014746678347204
3	21	0.08917725988700564
3	28	0.1257327773974734
3	46	0.10035365175236431
3	62	0.09432893426294821
30	39	0.09821221939365887
30	41	0.09721665425806082
30	69	0.16479782534828408
30	85	0.06272633212622866
30	94	0.07009683480271715
31	48	0.03564376543352334
31	50	0.07927565392354126
31	80	0.08374493927125508
31	99	110.32000000000001
31	33	0.09107194452470385
32	71	0.0898451674088735
32	79	0.14936420345489443
32	33	0.1284826846080819
32	43	0.07990972103371556
32	44	0.13774100764902966
32	54	0.1640592059030218
32	59	0.07523392721497135
32	60	0.12092001899171273
33	69	0.16464152225620116
33	96	0.0845324494068388
33	23	0.08470608802062847
33	37	0.12431274453210184
33	43	0.06219493410919048
33	47	0.05654128904274768
33	51	0.10864125560538117
33	62	0.09048929282868524
33	66	0.07525665915974217
33	67	0.07899250081512879
34	19	0.12431848404255319
34	49	0.1652869861716234
34	51	0.0978195067264574
34	53	0.05334304695141833
34	55	0.04768814559763896
34	64	0.07316674353276592
34	97	0.04543584669860446
35	44	0.10141601871167583
35	45	0.07970845278256677
35	48	0.037024301308532
35	56	0.10695333333333334
35	70	0.11619047619047618
35	71	0.06615124525812303
35	28	0.11410079745383746
36	101	95.15
36	18	0.13910818713450293
36	37	0.0976460778654352
36	84	0.08976415094339624
37	1	0.07332110609480813
37	19	0.11106810410334347
37	32	0.0626094289615292
37	40	0.08956227022058824
37	45	0.0677798838382082
37	50	0.07002281546421386
37	54	0.10271653197470135
37	88	0.06459645343056017
38	39	0.09260587826891922
38	42	0.12991883116883116
38	43	0.05870027627686364
38	69	0.15539051502354254
38	104	0.047796225513616813
38	32	0.07345824202301593
39	90	0.13073470828500833
39	24	123.45714285714287
39	32	0.07932351962550342
39	49	0.18709171109246883
39	54	0.13013753639192854
39	71	0.07126834900214417
39	73	0.10798787916653652
4	5	0.08099726360595927
4	56	0.12432000000000001
40	1	0.08186606471030851
40	18	0.15906432748538013
40	20	0.05881610955941977
40	23	0.07608059088326559
40	63	0.09555594589847183
41	39	0.10102406850266142
41	56	0.11640666666666669
41	62	0.09316839783722254
41	8	0.12101533396863902
41	92	124.72142857142859
41	27	0.11875000000000002
41	38	0.10909034112207923
42	35	0.07679361715389892
42	39	0.07127979634343902
42	43	0.0451822693821667
42	65	0.04843814503921839
43	112	194.76666666666668
43	16	0.1091588435850731
43	31	0.1765470147449843
43	4	0.14622122122122125
43	51	0.174678624813154
43	104	0.08142419175027871
44	98	0.06897168145451375
44	17	0.09289629252632815
44	42	0.12840097402597403
44	65	0.062195050030470427
44	67	0.07368298476873632
44	85	0.058454659670386516
45	77	0.13658301005462753
45	20	0.07771781241553294
45	35	0.12545720875148042
45	38	0.1257472197925778
45	44	0.12723370630254757
45	5	0.08742170872605656
45	55	0.06285839208613435
45	60	0.11169587361878455
45	61	0.13033998186763374
45	65	0.07913306729049127
46	28	0.1252896882195532
46	45	0.08752478002295412
46	59	0.06082521925281403
46	61	0.11407978241160471
46	73	0.11006341570085283
47	43	0.10999914427520108
47	48	0.06922026570661498
47	50	0.15395348280157134
47	55	0.09367291541418447
47	59	0.10356271436134706
47	68	0.1783118324316826
47	31	0.19420020546289582
47	86	0.12425209028079841
47	34	0.1964280939010181
47	36	0.22516202487300752
47	41	0.17177614875054883
48	24	309.50714285714287
48	27	0.2946885201305767
48	42	0.35171266233766235
48	43	0.15891176254859296
48	54	0.3262548940869391
48	56	0.28887333333333337
48	60	0.24046653018942382
48	106	309.50714285714287
48	67	0.20183054636918346
